artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type,birth_place,birth_date,death_place,death_date,gender,citizenship,occupation,work_locations
Jan Kupecký,,,{Baroque:1},,,,,,,,,,,,,,Pezinok,1667,Nuremberg,1740,male,,"['portraitist', 'painter']","{'location': 'Vienna', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Friedrich Winter,,,{Baroque:1},,,,,,1690.0,1710.0,,,,,No,,Fröhstockheim,1902,Fürth,1982,male,Germany,"['politician', 'civil servant', 'Beamter', 'jurist', 'artist', 'theologian', 'docent', 'pastor', 'aircraft pilot']","[{'location': 'Bonn', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Düsseldorf', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Pasquale Ottini,,,{Baroque:1},,,,,,1630.0,1630.0,,,,,No,,Verona,1578,Verona,1630,male,Republic of Venice,painter,"[{'location': 'Verona', 'start_time': '1612-01-01T00:00:00Z', 'end_time': '1630-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Vieira Lusitano,,,{Baroque:1},,,,,,1721.0,1721.0,,,,,No,,Lisbon,1699,Lisbon,1783,male,Kingdom of Portugal,"['printmaker', 'painter', 'engineer']","{'location': 'Portugal', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Simon Gribelin,,,{Baroque:1},,,,,,,,,,,,,,Blois,1661,London,1733,male,United Kingdom,printmaker,"{'location': 'Great Britain', 'start_time': '1680-01-01T00:00:00Z', 'end_time': '1733-01-01T00:00:00Z', 'point_in_time': None}"
Noël Coypel,,,{Baroque:1},,,,,,,,,,"{French painting:1}, {17th century:1}",,,,Paris,1628,Paris,1707,male,France,painter,[]
Juan Martín Cabezalero,,,{Baroque:1},,,,,,1665.0,1670.0,,,,,No,,Almadén,1633,Madrid,1673,male,Spain,painter,[]
Pierre Golle,,,{Baroque:1},,,,,,1680.0,1680.0,"Paris, France",,,"{Paris:1},{France:1}",No,,Bergen,1620,Paris,1685,male,France,"['marqueteur', 'designer', 'cabinetmaker']","{'location': 'Paris', 'start_time': '1643-01-01T00:00:00Z', 'end_time': '1684-01-01T00:00:00Z', 'point_in_time': None}"
Juan del Castillo,,,{Baroque:1},,,,,,1630.0,1650.0,,,,,No,,Seville,1584,Cádiz,1640,male,,painter,[]
Pedro Atanasio Bocanegra,,,{Baroque:1},,,,,,1660.0,1689.0,,,,,No,,Granada,1638,Granada,1689,male,Spain,"['painter', 'architect']",[]
Eugenio Caxés,,,{Baroque:2},,,,,,1613.0,1634.0,,,,,No,,Madrid,1574,Madrid,1634,male,Spain,painter,[]
Michel Anguier,,,{Baroque:1},,,,,,1652.0,1652.0,,,,,No,,Eu,1612,Paris,1686,male,France,sculptor,[]
Joris van Son,,,{Baroque:1},,,,,,,,,,,,,,Antwerp,1623,Antwerp,1667,male,Habsburg Netherlands,"['botanical illustrator', 'painter']","{'location': 'Antwerp', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Gerard van Opstal,,,{Baroque:1},,,,,,1640.0,1640.0,Belgium,,,{Belgium:1},No,,City of Brussels,1595,Paris,1668,male,Habsburg Netherlands,"['ivory carver', 'carver', 'sculptor', 'art dealer']","[{'location': 'City of Brussels', 'start_time': '1630-01-01T00:00:00Z', 'end_time': '1630-01-01T00:00:00Z', 'point_in_time': '1630-01-01T00:00:00Z'}, {'location': 'Paris', 'start_time': '1630-01-01T00:00:00Z', 'end_time': '1668-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1643-01-01T00:00:00Z', 'end_time': '1668-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1635-01-01T00:00:00Z', 'end_time': '1642-01-01T00:00:00Z', 'point_in_time': None}]"
Pacecco De Rosa,,,{Baroque:2},,,,,,,,,,,,,,Naples,1607,Naples,1656,male,,painter,"{'location': 'Naples', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Giovan Battista Ruoppolo,,,{Baroque:1},,,,,,,,,,,,,,Naples,1629,Naples,1693,male,,painter,"{'location': 'Naples', 'start_time': '1644-01-01T00:00:00Z', 'end_time': '1693-01-01T00:00:00Z', 'point_in_time': None}"
Joseph Werner,,,{Baroque:1},,,,,,1662.0,1667.0,,,,,No,,Bern,1637,Bern,1710,male,Switzerland,"['miniature painter', 'painter']","[{'location': 'Frankfurt', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bern', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Augsburg', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Munich', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Innsbruck', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Sisto Badalocchio,,,{Baroque:1},,,,,,,,,,,,,,Parma,1585,Parma,1647,male,,"['printmaker', 'painter']","[{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Parma', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bologna', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Francisco Ruiz Gijón,,,{Baroque:1},,,,,,,,,,,,,,Edimburgo,1653,Seville,1720,male,Spain,sculptor,[]
Anton Goubau,,,{Baroque:1},,,,,,,,,,,,,,Antwerp,1616,Antwerp,1698,male,Habsburg Netherlands,"['drawer', 'painter', 'priest']","[{'location': 'Rome', 'start_time': '1644-01-01T00:00:00Z', 'end_time': '1650-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1629-01-01T00:00:00Z', 'end_time': '1698-01-01T00:00:00Z', 'point_in_time': None}]"
David des Granges,,,{Baroque:1},,,,,,,,,,,,,,London,1611,London,1675,male,,painter,"[{'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'The Hague', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Scotland', 'start_time': '1650-01-01T00:00:00Z', 'end_time': '1651-01-01T00:00:00Z', 'point_in_time': None}]"
Nicolaes de Helt Stockade,,,{Baroque:1},,,,,,,,,,,,,,Nijmegen,1614,Amsterdam,1669,male,Netherlands,"['drawer', 'printmaker', 'painter']","[{'location': 'Nijmegen', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1646-01-01T00:00:00Z', 'end_time': '1647-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': '1634-01-01T00:00:00Z'}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Amsterdam', 'start_time': '1652-01-01T00:00:00Z', 'end_time': '1669-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1637-01-01T00:00:00Z', 'end_time': '1645-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': '1648-01-01T00:00:00Z'}, {'location': 'Lyon', 'start_time': None, 'end_time': None, 'point_in_time': '1645-01-01T00:00:00Z'}]"
Peter Wtewael,,,{Baroque:1},,,,,,1623.0,1623.0,,,,,No,,Utrecht,1596,Utrecht,1660,male,Netherlands,painter,"{'location': 'Utrecht', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Caspar Gras,,,{Baroque:1},,,,,,,,,,,,,,Bad Mergentheim,1585,Schwaz,1674,male,Germany,sculptor,[]
Antonio Bellucci,,,"{Baroque:1},{Renaissance:1}",,,,,,1716.0,1716.0,,,,,No,,Pieve di Soligo,1654,Pieve di Soligo,1726,male,Republic of Venice,"['decorator', 'printmaker', 'painter']",[]
Giampietro Zanotti,,,{Renaissance:1},,,,,,1739.0,1739.0,Italy,,,{Italy:1},No,,Paris,1674,Bologna,1765,male,,"['art historian', 'painter', 'poet', 'writer']","[{'location': 'Ferrara', 'start_time': None, 'end_time': None, 'point_in_time': '1720-01-01T00:00:00Z'}, {'location': 'Bologna', 'start_time': '1695-01-01T00:00:00Z', 'end_time': '1765-01-01T00:00:00Z', 'point_in_time': None}]"
Isaac Claesz. van Swanenburg,,,{Renaissance:1},,,,,,,,,,,,,,Leiden,1537,Leiden,1614,male,Dutch Republic,"['painter', 'politician']","[{'location': 'Leiden', 'start_time': '1575-01-01T00:00:00Z', 'end_time': '1614-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Hamburg', 'start_time': '1573-08-01T00:00:00Z', 'end_time': '1574-11-01T00:00:00Z', 'point_in_time': None}, {'location': 'Leiden', 'start_time': '1565-01-01T00:00:00Z', 'end_time': '1573-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1555-01-01T00:00:00Z', 'end_time': '1565-01-01T00:00:00Z', 'point_in_time': None}]"
Giovanni Battista Trotti,,,{Renaissance:1},,,,,,,,,,,,,,Cremona,1555,Parma,1619,male,,"['painter', 'architect']",[]
David Kandel,,,{Renaissance:1},,,,,,,,,,,,,,Strasbourg,1524,,1596,male,,"['printmaker', 'painter']","{'location': 'Strasbourg', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Giampietrino,,,{Renaissance:1},,,,,,1500.0,1520.0,,,,,No,,Lombardy,1490,,1560,male,Italy,"['painter', 'printmaker', 'illuminator']","[{'location': 'Milan', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Brescia', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': '1480-01-01T00:00:00Z'}]"
Henrietta Johnston,,,{Renaissance:1},,,,,,,,,,,,,,France,1674,,1729,female,United States of America,"['painter', 'artist']",[]
Andrea Solari,,,{Renaissance:1},,,,,,1500.0,1505.0,,,,,No,,Milan,1460,Milan,1524,male,Duchy of Milan,"['painter', 'stuccoist']","{'location': 'Château de Gaillon', 'start_time': '1507-08-01T00:00:00Z', 'end_time': '1509-08-01T00:00:00Z', 'point_in_time': None}"
Bernardino Butinone,,,{Renaissance:1},,,,,,,,,,,,,,Treviglio,1450,,1510,male,,painter,[]
Jan Mandijn,,,{Renaissance:2},,,,,,1550.0,1550.0,,,,,No,,Haarlem,1500,Antwerp,1560,male,Habsburg Netherlands,painter,"{'location': 'Antwerp', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Martin Kober,,,{Renaissance:1},,,,,,1595.0,1595.0,,,,,No,,Wrocław,1550,Kraków,1598,male,Polish–Lithuanian Commonwealth,painter,[]
Lorenzo Leonbruno,,,{Renaissance:2},,,,,,,,Italy,,,{Italy:1},,,Mantua,1489,Mantua,1537,male,,"['painter', 'engineer', 'architect']","[{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': '1521-01-01T00:00:00Z'}, {'location': 'Venice', 'start_time': '1512-01-01T00:00:00Z', 'end_time': '1521-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Mantua', 'start_time': None, 'end_time': None, 'point_in_time': '1506-01-01T00:00:00Z'}, {'location': 'Mantua', 'start_time': '1532-01-01T00:00:00Z', 'end_time': '1537-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Mantua', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Domenico Cresti,,,"{Renaissance:1},{Mannerism:1}",,,,,,,,,,,,,,Tavarnelle Val di Pesa,1559,Florence,1638,male,Italy,"['drawer', 'painter', 'architect']",[]
Anna Caterina Gilli,,,"{Renaissance:1},{Mannerism:1}",,,,,,1750.0,1750.0,,,,,No,,,1700,,1754,female,,painter,[]
Antoine de Marcenay de Ghuy,,,{Renaissance:1},,,,,,,,,,,,,,Paris,1724,Paris,1811,male,France,"['visual artist', 'graphic artist', 'sculptor', 'painter', 'engraver']","{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Francesco Vecellio,,,{Renaissance:1},,,,,,,,,,,,,,Pieve di Cadore,1475,Pieve di Cadore,1560,male,Republic of Venice,painter,[]
Orazio Farinati,,,"{Renaissance:1},{Mannerism:1}",,,,,,,,,,,,,,Verona,1559,,1616,male,Republic of Venice,"['printmaker', 'painter', 'engraver']","[{'location': 'Verona', 'start_time': '1587-01-01T00:00:00Z', 'end_time': '1608-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Piacenza', 'start_time': None, 'end_time': None, 'point_in_time': '1599-01-01T00:00:00Z'}]"
Carlo Caliari,,,{Renaissance:1},,,,,,,,,,,,,,Venice,1570,Venice,1596,male,Republic of Venice,"['drawer', 'painter']","{'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Adam von Bartsch,,,{Renaissance:1},,,,,,,,,,,,,,Vienna,1757,Hietzing,1821,male,Austrian Empire,"['Q28638974', 'drawer', 'engraver', 'etcher', 'art historian', 'writer']","{'location': 'Vienna', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Jean Poyer,,,{Renaissance:1},,,,,,,,,,,,,,Geneva,1445,,1503,male,France,"['painter', 'illuminator', 'mechanic']","{'location': 'Tours', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Vivant Denon,,,{Renaissance:1},,,,,,,,,,,,,,Chalon-sur-Saône,1747,Paris,1825,male,France,"['drawer', 'etcher', 'archaeologist', 'travel writer', 'graphic artist', 'art historian', 'writer', 'medalist', 'egyptologist', 'painter', 'diplomat', 'politician']","[{'location': 'Austria', 'start_time': None, 'end_time': None, 'point_in_time': '1809-01-01T00:00:00Z'}, {'location': 'Venice', 'start_time': '1788-01-01T00:00:00Z', 'end_time': '1793-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Europe', 'start_time': '1805-01-01T00:00:00Z', 'end_time': '1815-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Italy', 'start_time': '1777-01-01T00:00:00Z', 'end_time': '1779-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Switzerland', 'start_time': None, 'end_time': None, 'point_in_time': '1775-01-01T00:00:00Z'}, {'location': 'Paris', 'start_time': '1764-01-01T00:00:00Z', 'end_time': '1773-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1785-01-01T00:00:00Z', 'end_time': '1788-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Germany', 'start_time': '1806-01-01T00:00:00Z', 'end_time': '1807-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': '1811-01-01T00:00:00Z', 'end_time': '1815-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Egypt', 'start_time': '1798-01-01T00:00:00Z', 'end_time': '1799-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1815-01-01T00:00:00Z', 'end_time': '1825-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Munich', 'start_time': None, 'end_time': None, 'point_in_time': '1809-01-01T00:00:00Z'}, {'location': 'Paris', 'start_time': '1793-01-01T00:00:00Z', 'end_time': '1798-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1799-01-01T00:00:00Z', 'end_time': '1805-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Naples', 'start_time': '1779-01-01T00:00:00Z', 'end_time': '1785-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Spain', 'start_time': '1808-01-01T00:00:00Z', 'end_time': '1809-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': '1775-01-01T00:00:00Z', 'end_time': '1777-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Russia', 'start_time': '1773-01-01T00:00:00Z', 'end_time': '1774-01-01T00:00:00Z', 'point_in_time': None}]"
Hans Schwarz,,,{Renaissance:1},,,,,,,,,,,,,,Schwabach,1939,Bern,1970,male,Germany,"['evangelical theologian', 'university teacher', 'theologian', 'resistance fighter', 'non-fiction writer', 'publisher', 'writer', 'actor', 'playwright', 'historian', 'numismatist', 'medalist', 'sculptor', 'amateur wrestler', 'functionary', 'painter', 'swimmer', 'athletics competitor', 'Q56296655', 'senior advisor', 'electrician', 'entrepreneur', 'archivist', 'journalist', 'photographer', 'head teacher', 'teacher', 'sailor', 'visual artist', 'artist', 'architect', 'author']","{'location': 'Regensburg', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Andrés de Araoz,,,{Renaissance:1},,,,,,,,,,,,,,Araotz,1500,Genevilla,1563,male,Crown of Castile,sculptor,[]
Loyset Liédet,,,"{Renaissance:10},{Gothic art:12}",,,,,,1463.0,1472.0,"Belgium, Brussels, Bruges",,,"{Bruges:4},{Belgium:26},{Brussels:22}",No,,Hesdin,1420,Bruges,1484,male,Burgundian Netherlands,"['painter', 'illuminator']","[{'location': 'Lille', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Hesdin', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bruges', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Bertoldo di Giovanni,,,{Renaissance:1},,,,,,,,,,,,,,Florence,1435,Poggio a Caiano,1491,male,,"['medalist', 'sculptor']","[{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': '1469-01-01T00:00:00Z'}, {'location': 'Florence', 'start_time': '1485-01-01T00:00:00Z', 'end_time': '1491-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Padua', 'start_time': '1483-01-01T00:00:00Z', 'end_time': '1484-01-01T00:00:00Z', 'point_in_time': None}]"
Diogo Teixeira,,,"{Renaissance:1},{Mannerism:1}",,,,,,1590.0,1600.0,,,,,No,,Lisbon,1540,,1612,male,Kingdom of Portugal,"['painter', 'association football player', 'researcher']",[]
Hans Krell,,,{Renaissance:1},,,,,,,,,,,,,,Crailsheim,1490,Leipzig,1565,male,Germany,painter,"[{'location': 'Leipzig', 'start_time': '1533-01-01T00:00:00Z', 'end_time': '1586-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Prague', 'start_time': '1522-01-01T00:00:00Z', 'end_time': '1532-01-01T00:00:00Z', 'point_in_time': None}]"
Thomas Schmid,,,{Renaissance:1},,,,,,1526.0,1526.0,,,,,No,,Munich,1959,,1579,male,Germany,"['editor', 'musician', 'church musician', 'sociologist', 'journalist', 'writer', 'screenwriter', 'politician', 'researcher', 'playwright', 'spokesperson', 'sailor', 'rally driver', 'painter']","[{'location': 'Ottobrunn', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Aert Mijtens,,,{Renaissance:1},,,,,,,,,,,,,,Brussels-Capital Region,1541,Rome,1602,male,Habsburg Netherlands,painter,[]
Bernardo Parentino,,,{Renaissance:1},,,,,,1480.0,1490.0,Italy,,,{Italy:1},No,,Poreč,1437,Vicenza,1531,male,Republic of Venice,painter,"{'location': 'Padua', 'start_time': '1489-01-01T00:00:00Z', 'end_time': '1494-01-01T00:00:00Z', 'point_in_time': None}"
Giovanni Domenico Ferretti,,,{Renaissance:1},,,,,,,,,,,,,,Florence,1692,Florence,1768,male,,painter,[]
Paolo Veronese (Paolo Caliari),,,{Renaissance:1},,,,,,1548.0,1548.0,Italy,,,{Italy:1},No,,Verona,1528,Venice,1588,male,Republic of Venice,"['drawer', 'architectural draftsperson', 'painter']","[{'location': 'Mantua', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Verona', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Treviso', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Padua', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Agnolo di Cosimo Bronzino,,,"{Renaissance:1},{Mannerism:2}",,,,,,,,,,,,,,Florence,1503,Florence,1572,male,Italy,"['architectural draftsperson', 'painter', 'poet']","{'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Dürer,,,{Renaissance:1},,,,,,,,,,,,,,Nuremberg,1471,Nuremberg,1528,male,Duchy of Bavaria,"['exlibrist', 'art theorist', 'drawer', 'engraver', 'printmaker', 'painter', 'illuminator', 'illustrator', 'mathematician']","[{'location': 'Bergen op Zoom', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Colmar', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Goes', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Zaltbommel', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Bologna', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Veere', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Antwerp', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Strasbourg', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Mainz', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': ""'s-Hertogenbosch"", 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Lutherstadt Wittenberg', 'start_time': None, 'end_time': None, 'point_in_time': '1504-01-01T00:00:00Z'}, {'location': 'Cologne', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Heerewaarden', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Basel', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Stokkum, Gelderland', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Mechelen', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Nuremberg', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Middelburg', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Nijmegen', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Frankfurt', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Baarle-Nassau', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Zierikzee', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Sittard', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Oisterwijk', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Milan', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Innsbruck', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Tilburg', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Arnemuiden', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Aurelio Luini,,,"{Renaissance:1},{Mannerism:1}",,,,,,,,,,,,,,Milan,1530,Milan,1593,male,,"['drawer', 'painter']",[]
Juan Correa,,,{Renaissance:1},,,,,,,,Toledo,,,{Toledo:1},,,Mexico,1646,,1716,male,Mexico,"['painter', 'researcher']",[]
Ladislav Medňanský,,,{Impressionism:1},,,,,,1900.0,1900.0,,,,,No,,Beckov,1852,Vienna,1919,male,Hungary,"['painter', 'graphic designer']",[]
John Joseph Enneking,,,{Impressionism:1},,,,,,,,,,,,,,Minster,1841,Boston,1916,male,United States of America,painter,[]
William Woodward,,,{Impressionism:1},,,,,,,,,,,,,,New York City,1762,New York City,1820,male,United States of America,"['politician', 'banker', 'lawyer', 'painter', 'cricketer', 'rower', 'architect', 'muralist', 'barrister', 'judge', 'political scientist', 'philanthropist', 'businessperson']","{'location': 'Washington, D.C.', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Albert Weisgerber,,,{Impressionism:1},,,,,,1905.0,1905.0,,,,,No,,Sankt Ingbert,1878,Fromelles,1915,male,German Empire,"['graphic artist', 'painter', 'illustrator']","{'location': 'Munich', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Adolphe-Félix Cals,,,{Impressionism:1},,,,,,,,,,,,,,Paris,1810,Honfleur,1880,male,France,painter,[]
Henri-Jean Guillaume Martin,,,{Impressionism:1},,,,,,1897.0,1897.0,,,,,No,,Toulouse,1860,Labastide-du-Vert,1943,male,France,painter,"[{'location': 'Paris', 'start_time': '1879-01-01T00:00:00Z', 'end_time': '1930-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Italy', 'start_time': None, 'end_time': None, 'point_in_time': '1885-01-01T00:00:00Z'}, {'location': 'Labastide-du-Vert', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Pompeo Mariani,,,{Impressionism:1},,,,,,,,,,,,,,Monza,1857,Bordighera,1927,male,Kingdom of Italy,painter,[]
Theodore Wendel,,,{Impressionism:1},,,,,,,,,,,,,,,1859,Ipswich,1932,male,United States of America,painter,[]
Frederic Sackrider Remington,,,{Impressionism:1},,,,,,,,,,,,,,Canton,1861,Ridgefield,1909,male,United States of America,"['sculptor', 'painter', 'illustrator', 'writer']","[{'location': 'Ridgefield', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Montana', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Arizona', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Kansas City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New Rochelle', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Joan Colom i Agustí,,,{Impressionism:1},,,,,,,,,,,,,,Arenys de Mar,1879,,1969,male,Spain,painter,[]
Johann Christian Clausen Dahl,,,{Romanticism:1},,,,,,1832.0,1832.0,Norway,,,{Norway:1},No,,Bergen,1788,Dresden,1857,male,Norway,"['painter', 'professor']","{'location': 'Dresden', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Thomas Phillips,,,{Romanticism:1},,,,,,,,,,,,,,Dudley,1770,London,1845,male,United Kingdom of Great Britain and Ireland,"['portraitist', 'painter']","[{'location': 'London', 'start_time': '1790-01-01T00:00:00Z', 'end_time': '1845-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Birmingham', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Italy', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Mungo Burton,,,{Romanticism:1},,,,,,,,Edinburgh,,,{Edinburgh:1},,,,1799,,1882,male,,painter,[]
Herbert Stoppelaer,,,{Romanticism:1},,,,,,,,Dublin,,,{Dublin:1},,,Dublin,,,,male,,painter,[]
Friedrich von Amerling,,,{Romanticism:1},,,,,,1837.0,1838.0,,,,,No,,Vienna,1803,Vienna,1887,male,Austrian Empire,painter,[]
Christen Schjellerup Købke,,,{Romanticism:1},,,,,,1841.0,1841.0,,,,,No,,Copenhagen,1810,Copenhagen,1848,male,Denmark,painter,"{'location': 'Copenhagen', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Gilles-François Closson,,,{Romanticism:1},,,,,,1825.0,1829.0,Belgium,,,{Belgium:1},No,,Liège,1796,Liège,1842,male,Belgium,painter,"{'location': 'Liège', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Jean-Pierre Houël,,,{Romanticism:1},,,,,,1776.0,1779.0,"Italy, Sicily",,,"{Sicily:1},{Italy:1}",No,,Rouen,1735,Paris,1813,male,France,"['drawer', 'printmaker', 'designer', 'graphic artist', 'painter']",[]
