artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type
Irma Boom,,,,,,,,,,,Netherlands,,,{Netherlands:2},,
Gerloff Brouwer,,,,,,,,,,,Amsterdam,,,{Amsterdam:2},,
Matth_us Merian (I),,,,,,,,,,,Netherlands,,,{Netherlands:2},,
Goto Mitsuyoshi,,,,,,,,,,,Japan,,,{Japan:2},,
Franciscus Hemsterhuis,,,,,,,,,,,Hague,,,{Hague:2},,
Ernest Cardeilhac,,,,,,,,,,,Paris,,,{Paris:2},,
attributed to Johannes Lutma (II),,,,,,,,,,,Amsterdam,,,{Amsterdam:2},,
Fran¤ois Désiré Froment-Meurice,,,,,,,,,,,Paris,,,{Paris:4},,
Giovanni Battista Tana,,,,,,,,,1750.0,1755.0,,,,,No,
Jacques Charlier,,,,,,,,,1775.0,1775.0,,,,,No,
Johann Sadeler (I),,,,,,,,,,,"Venice, Antwerp, Middelburg",,,"{Middelburg:2},{Antwerp:6},{Venice:1}",,
Elias Scerpswert,,,,,,,,,,,Utrecht,,,{Utrecht:2},,
Lehman,,,,,,,,,1810.0,1810.0,"Croatia, Zagreb",,,"{Croatia:2},{Zagreb:2}",No,
Steven Cornelisz. van Herwijck,,,,,,,,,,,Antwerp,,,{Antwerp:2},,
Alexander Henderson,,,,,,,,,1859.0,1887.0,,,,,No,
Nandita Kumar,,,,,,,,,2012.0,2012.0,,,,,Yes,
James Young,,,,,,,,,,,"London, England",,,"{London:2},{England:2}",,
Duhme & Co. (American,,,,,,,,,,,"Ohio, Cincinnati, United States",,,"{Cincinnati:6},{Ohio:6},{United States:6}",,
Schohay,,,,,,,,,1867.0,1867.0,,,,,No,
Loring Andrews & Co. (American,,,,,,,,,,,"Maryland, United States, Baltimore",,,"{Baltimore:2},{Maryland:2},{United States:2}",,
Minangkabau people,,,,,,,,,1800.0,1850.0,,,,,No,
Cranston Pottery Company,,,,,,,,,1850.0,1875.0,,,,,No,
Star Pottery,,,,,,,,,1888.0,1915.0,,,,,No,
George Duncan,,,,,,,,,1855.0,1863.0,,,,,No,
Mark attributed to Asakura Domi,,,,,,,,,,,,,{Seto or Kyoto ware:3},,,
Guadalupe Pottery  Company,,,,,,,,,1857.0,1869.0,,,,,No,
Attributed to Durham-Chandler-Wilson Pottery,,,,,,,,,1872.0,1884.0,,,,,No,
Man'emon,,,,,,,,,,,,,{Seto or Kyoto ware:3},,,
Kato Shun'u,,,,,,,,,,,,,{Seto ware:5},,,
H. Wilson & Co.,,,,,,,,,1869.0,1884.0,,,,,No,
Rushton Pottery Company,,,,,,,,,1873.0,1900.0,,,,,No,
James (Jim) Hogue,,,,,,,,,1900.0,1934.0,,,,,No,
Attributed to H. Wilson & Co.,,,,,,,,,1869.0,1903.0,,,,,No,
Kimik Pottery Co.,,,,,,,,,1875.0,1900.0,,,,,No,
William Saenger,,,,,,,,,1880.0,1905.0,,,,,No,
Matthew Duncan,,,,,,,,,1855.0,1881.0,,,,,No,
Durham-Chandler-Suttles-Wilson Pottery,,,,,,,,,1869.0,1903.0,,,,,No,
George Washington Suttles,,,,,,,,,1873.0,1882.0,,,,,No,
William C. Knox,,,,,,,,,1870.0,1872.0,,,,,No,
Ernest Richter,,,,,,,,,1888.0,1909.0,,,,,No,
Prothro Pottery Company,,,,,,,,,1846.0,1865.0,,,,,No,
Attributed to Okazaki Bunzan,,,,,,,,,,,,,"{Raku ware:3}, {unknown workshop:3}",,,
American Pottery Company,,,,,,,,,1840.0,1850.0,,,,,No,
Milton Russell Stoker,,,,,,,,,1881.0,1892.0,,,,,No,
Roark Pottery Company,,,,,,,,,1868.0,1884.0,,,,,No,
Koemon,,,,,,,,,,,,,{Fushimi ware:3},,,
Joseph C.D. Rushton,,,,,,,,,1870.0,1900.0,,,,,No,
Attributed to Prothro Pottery Company,,,,,,,,,1846.0,1865.0,,,,,No,
Rhonesboro Pottery Company,,,,,,,,,1900.0,1935.0,,,,,No,
Isaac Suttles Pottery,,,,,,,,,1869.0,1903.0,,,,,No,
Attributed to United States Pottery Co.,,,,,,,,,1852.0,1858.0,,,,,No,
Jerry S. Hogue,,,,,,,,,1857.0,1901.0,,,,,No,
Joseph C. Rushton,,,,,,,,,1873.0,1900.0,,,,,No,
Elix Brown,,,,,,,,,1863.0,1863.0,,,,,No,
James W. Hayden,,,,,,,,,1873.0,1900.0,,,,,No,
Duhme Manufacturing Co. (American,,,,,,,,,,,"Ohio, Cincinnati, United States",,,"{Cincinnati:2},{Ohio:2},{United States:2}",,
Anthonis Pietersz. van der Willigen,,,,,,,,,,,Netherlands,,,{Netherlands:2},,
John Hardman & Co.,,,,,,,,,1852.0,1853.0,,,,,No,
Barent van der Cloesen,,,,,,,,,,,Netherlands,,,{Netherlands:2},,
1847 Rogers Brothers,,,,,,,,,,,"USA, Waterbury, Connecticut, Meriden",,,"{Meriden:4},{Connecticut:6},{USA:6},{Waterbury:2}",,
Paul de Lamerie (British,,,,,,,,,,,"London, United Kingdom, England",,,"{London:2},{England:2},{United Kingdom:2}",,
E & D Kinsey (American,,,,,,,,,,,"Ohio, Cincinnati, United States",,,"{Cincinnati:2},{Ohio:2},{United States:2}",,
François Saraillac,,,,,,,,,1679.0,1679.0,France,,,{France:2},No,
Moser,,,,,,,,,1882.0,1925.0,,,,,No,
R. Best & Co. (American,,,,,,,,,,,"Ohio, Cincinnati, United States",,,"{Cincinnati:2},{Ohio:2},{United States:2}",,
George B. Sharp,,,,,,,,,1848.0,1850.0,,,,,No,
Attributed to Giulio Ruberti,,,,,,,,,1770.0,1770.0,,,,,No,
Wayne Warren,,,,,,,,,2010.0,2010.0,,,,,Yes,
San Antonio Pottery Co.,,,,,,,,,1928.0,1937.0,,,,,No,
Winfield Pottery,,,,,,,,,1865.0,1901.0,,,,,No,
Attributed to Aoki Mokubei,,,,,,,,,,,,,{Kyoto ware:3},,,
Probably Nancy V. Cranston,,,,,,,,,1845.0,1875.0,,,,,No,
Kagenori,,,,,,,,,,,,,"{Seto ware:5}, {Revival Oribe style:5}",,,
William Wilson McGrew,,,,,,,,,,,"Ohio, Cincinnati, United States",,,"{Cincinnati:4},{Ohio:4},{United States:4}",,
Henry G. Reed,,,,,,,,,,,"Taunton, USA, Massachusetts",,,"{Taunton:2},{Massachusetts:2},{USA:2}",,
Edward Kinsey,,,,,,,,,,,"Newport, Cincinnati, Ohio, United States, Kentucky",,,"{Newport:2},{Kentucky:2},{United States:4},{Cincinnati:2},{Ohio:2}",,
Surface decoration attributed to Étienne-Simon Martin,,,,,,,,,1738.0,1750.0,"Paris, France",,,"{Paris:2},{France:2}",No,
Ludwig Hyrschöttel (Eirerschöttel) (Augsburg,,,,,,,,,1658.0,1658.0,,,,,No,
Christopher Dresser (English,,,,,,,,,1878.0,1878.0,,,,,No,
W. & P. Cunningham,,,,,,,,,1796.0,1796.0,,,,,No,
Johann Christoph Schwartz,,,,,,,,,1698.0,1698.0,,,,,No,
Flemish or South German,,,,,,,,,1575.0,1625.0,,,,,No,
Thomas Pitts I,,,,,,,,,1771.0,1771.0,,,,,No,
James Laurence Cotter,,,,,,,,,1870.0,1870.0,,,,,No,
Archea,,,,,,,,,2014.0,2014.0,,,,,Yes,
Attributed to Peter Koellin,,,,,,,,,1470.0,1470.0,,,,,No,
Christofle & Cie (French,,,,,,,,,,,France,,,{France:4},,
Franka,,,,,,,,,1967.0,1967.0,"London, England",,,"{England:2},{London:2}",No,
Dorothy McNab,,,,,,,,,1960.0,1970.0,,,,,No,
Heo Hyeong,,,,,,,,,1862.0,1938.0,,,,,No,
Jang Gyeong-ju,,,,,,,,,1710.0,1810.0,,,,,No,
Kim Jin-u,,,,,,,,,1883.0,1950.0,,,,,No,
Kim Eung-won,,,,,,,,,1855.0,1921.0,,,,,No,
Yi Do-young,,,,,,,,,1884.0,1933.0,,,,,No,
Park Bo Yeong,,,,,,,,,2012.0,2013.0,,,,,Yes,
Ahn Jung-sik,,,,,,,,,1861.0,1919.0,,,,,No,
Heo Ryun,,,,,,,,,1808.0,1893.0,,,,,No,
Mary (May) Morris,,,,,,,,,,,Great Britain,,,{Great Britain:2},,
Formerly attributed to Qiu Ying,,,,,,,,,,,,,{Blue-and-green style:1},,,
Filippo Salandri; Francesco Giuliani,,,,,,,,,1744.0,1749.0,,,,,No,
Traditionally attributed to Li Gonglin,,,,,,,,,,,,,{Baimiao style:1},,,
Afroditi Hera,,,,,,,,,,,"London, United Kingdom",,,"{London:1},{United Kingdom:1}",,
Ji Un-yeong,,,,,,,,,1852.0,1935.0,,,,,No,
Jo Seok-jin,,,,,,,,,1853.0,1956.0,,,,,No,
Ji Chang-han,,,,,,,,,1851.0,1927.0,,,,,No,
Yi Han-bok,,,,,,,,,1897.0,1940.0,,,,,No,
Guanxiu,Chinese,,"{Tang Dynasty (618–907),Five Dynasties and Ten Kingdoms (907–960):16}",,,,,,,,,,{Ink and wash painting:16},,,
possibly De Zon,,,,,,,,,,,Netherlands,,,{Netherlands:1},,
GESSEN,,,,,,,,,1806.0,1806.0,,,,,No,
Attributed to Sangjwa Lee,,,,,,,,,1500.0,1500.0,,,,,No,
Jung Mal Sook,,,,,,,,,,,"Seoul, Korea",,,"{Seoul:1},{Korea:1}",,
Oh Il-yeong,,,,,,,,,1890.0,1960.0,,,,,No,
Pieter Schenk (I),,,,,,,,,,,"Northern Netherlands, Amsterdam",,,"{Amsterdam:3},{Northern Netherlands:2}",,
Christina Chalmers,,,{Contemporary Art:1},,,,,,2013.0,2013.0,United States of America,,,{United States of America:1},Yes,
Song Tae-hoe,,,,,,,,,1872.0,1942.0,,,,,No,
AB Daléns Herrekipering,,,,,,,,,,,Sweden,,,{Sweden:1},,
Follower of Qiu Ying,,,,,,,,,,,,,{Blue-and-green style:1},,,
Hwang Cheol,,,,,,,,,1864.0,1930.0,,,,,No,
Yi Yong-u,,,,,,,,,1902.0,1952.0,,,,,No,
Victor Steibel,,,,,,,,,1952.0,1952.0,,,,,No,
Ragnild d' Ailly,,,,,,,,,,,Netherlands,,,{Netherlands:1},,
Augusta Lundin,,,,,,,,,,,"Sweden, Stockholm",,,"{Stockholm:1},{Sweden:1}",,
Na Su-yeon,,,,,,,,,1861.0,1926.0,,,,,No,
Georges Jacob (French,,,,,,,,,,,"Paris, France",,,"{Paris:1},{France:1}",,
Bak Gi-yang,,,,,,,,,1856.0,1932.0,,,,,No,
J. Jans,,,,,,,,,,,Indonesia,,,{Indonesia:2},,
Kim Eung-hwan,,,,,,,,,1742.0,1789.0,,,,,No,
Thomass/Jones,,,,,,,,,1975.0,1975.0,,,,,No,
Seo Byeong-geon,,,,,,,,,1850.0,1950.0,,,,,No,
Yun Deok-hui,,,,,,,,,1685.0,1776.0,,,,,No,
Han Si-gak,,,,,,,,,1621.0,1721.0,,,,,No,
François Carquillat,,,,,,,,,1876.0,1876.0,,,,,No,
HARA Zaichu,,,,,,,,,1822.0,1822.0,,,,,No,
Shim Sa-jeong,,,,,,,,,1707.0,1769.0,,,,,No,
Lovisa Burfitt,,,,,,,,,,,France,,,{France:1},,
Traditionally attributed to Zhao Boju,,,,,,,,,,,,,{Blue-and-green style:1},,,
Anna Maria Garthwaite,,,,,,,,,1749.0,1749.0,,,,,No,
Stella McCartney,,,,,,,,,,,"London, United Kingdom",,,"{London:1},{United Kingdom:1}",,
Lee Hong-sun,,,,,,,,,,,"Seoul, Korea",,,"{Seoul:2},{Korea:2}",,
Shim In-seop,,,,,,,,,1875.0,1939.0,,,,,No,
Domoto Insho,,,,,,,,,1930.0,1975.0,,,,,No,
Seo Byeong-o,,,,,,,,,1862.0,1935.0,,,,,No,
YOKOYAMA Kazan,,,,,,,,,1819.0,1819.0,,,,,No,
Hale,,,,,,,,,1930.0,1930.0,,,,,No,
Xu Lei,,,,,,,,,2012.0,2013.0,,,,,Yes,
Rizwan Beyg,,,,,,,,,,,"London, Pakistan, United Kingdom",,,"{London:1},{United Kingdom:1},{Pakistan:1}",,
Jean Avisse,,,,,,,,,1750.0,1755.0,"Paris, France",,,"{Paris:2},{France:2}",No,
West,,,,,,,,,,,"France, Calais",,,"{Calais:17},{France:17}",,
Lamy et Giraud (1884-1910),,,,,,,,,1876.0,1876.0,,,,,No,
Hwang Jong-ha,,,,,,,,,1887.0,1952.0,,,,,No,
Kim Su-gyu,,,,,,,,,1629.0,1665.0,,,,,No,
S. Argyraki,,,,,,,,,,,"Greece, Athens",,,"{Athens:4},{Greece:4}",,
Filippo Gabrielli; Francesco Giuliani,,,,,,,,,1744.0,1749.0,,,,,No,
Lee Jeong(李霆,,,,,,,,,,,Korea,,,{Korea:2},,
MATSUOKA Eikyu,,,,,,,,,1929.0,1929.0,,,,,No,
Maxine Cantú Hernandez,,,,,,,,,1983.0,1983.0,,,,,,
Tatsuo Fjimura/Masayoshi Joboji,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:1},{Japan:1}",,
Boutenjeun,,,,,,,,,,,"France, Calais",,,"{Calais:3},{France:3}",,
Giuliano Saturni; Francesco Giuliani,,,,,,,,,1744.0,1749.0,,,,,No,
Kim Yun-bo,,,,,,,,,1850.0,1950.0,,,,,No,
Girolamo Mariani; Francesco Giuliani,,,,,,,,,1744.0,1749.0,,,,,No,
Ateljé Modefront,,,,,,,,,,,"Sweden, Stockholm",,,"{Stockholm:1},{Sweden:3}",,
Bak Ho-byeong,,,,,,,,,1878.0,1942.0,,,,,No,
Gang Jin-hui,,,,,,,,,1851.0,1919.0,,,,,No,
Shin Wi,,,,,,,,,1769.0,1845.0,,,,,No,
Yun Yong-gu,,,,,,,,,1853.0,1939.0,,,,,No,
Yuki Somei,,,,,,,,,,,Japan,,,{Japan:1},,
Richard Tam for Richard Tam,,,,,,,,,,,USA,,,{USA:1},,
Davenière,,,,,,,,,,,"France, Calais",,,"{Calais:10},{France:10}",,
Rena Vavasi,,,,,,,,,,,"Greece, Athens",,,"{Athens:3},{Greece:3}",,
M.E. Dick,,,,,,,,,,,USA,,,{USA:3},,
Shouichiro Oshida,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:1},{Japan:1}",,
Elsa Peretti for Tiffany & Co.,,,,,,,,,,,Japan,,,{Japan:1},,
Heo Pil,,,,,,,,,1709.0,1761.0,,,,,No,
Choi Buk,,,,,,,,,1712.0,1786.0,,,,,No,
Tanya Taylor,,,,,,,,,,,"London, Canada, United Kingdom",,,"{London:1},{United Kingdom:1},{Canada:2}",,
Kenji Maida,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:6},{Japan:6}",,
Uzan Kimura,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:7},{Japan:7}",,
Katsumasa Okuda,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:3},{Japan:3}",,
Hiroshi Mizuno,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:3},{Japan:3}",,
Koyo Nogawa,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Ichuro Kakimoto,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:3},{Japan:3}",,
Tomoo Naritake,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:1},{Japan:1}",,
Jinro Maida,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:6},{Japan:6}",,
Eiji Dangisho,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:3},{Japan:3}",,
Kaho Hyakkan,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:6},{Japan:6}",,
不明,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:1},{Japan:1}",,
Noboru Hatakeyama,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:1},{Japan:1}",,
Kim Jin-gyu,,,,,,,,,1658.0,1716.0,,,,,No,
Jeong Dae-yu,,,,,,,,,1852.0,1918.0,,,,,No,
Kang Hee Jung,,,,,,,,,2014.0,2015.0,,,,,Yes,
Jo Yeong-seok,,,,,,,,,1648.0,1761.0,,,,,No,
Astrid Olsson,,,,,,,,,,,"Sweden, Stockholm",,,"{Stockholm:1},{Sweden:1}",,
Yun Jeong-rip,,,,,,,,,1571.0,1627.0,,,,,No,
Bou Fonua,,,,,,,,,,,"London, United Kingdom",,,"{London:2},{United Kingdom:2}",,
Rainer Ganahl,,,,,,,,,2001.0,2002.0,,,,,Yes,
Jin Jae-hae,,,,,,,,,1691.0,1726.0,,,,,No,
Nakabayashi Chikuto,,,,,,,,,1841.0,1841.0,,,,,No,
Kim Yun-gyeom,,,,,,,,,1711.0,1775.0,,,,,No,
George G. Leupold,,,,,,,,,,,USA,,,{USA:3},,
Lucile Manguin,,,,,,,,,,,France,,,{France:1},,
Ahn Geon-yeong,,,,,,,,,1841.0,1876.0,,,,,No,
Yi Gwang-sa,,,,,,,,,1705.0,1777.0,,,,,No,
Keith & Company,,,,,,,,,1860.0,1860.0,,,,,No,
Gang Hui-eon,,,,,,,,,1710.0,1784.0,,,,,No,
Georges Martin,,,,,,,,,1908.0,1908.0,,,,,No,
Kim Chang-eop,,,,,,,,,1658.0,1721.0,,,,,No,
Yu Jin-chan,,,,,,,,,1866.0,1947.0,,,,,No,
Anak Navaraj,,,,,,,,,,,Thailand,,,{Thailand:1},,
Greentree's,,,,,,,,,1940.0,1949.0,,,,,No,
Jo Se-geol,,,,,,,,,1635.0,1735.0,,,,,No,
Mde Ebenhöh,,,,,,,,,1870.0,1880.0,"Vienna, Austria",,,"{Austria:1},{Vienna:1}",No,
Gwon Yong-jeong,,,,,,,,,1801.0,1900.0,,,,,No,
Yu Suk,,,,,,,,,1827.0,1873.0,,,,,No,
Yves Saint-Laurent,,,,,,,,,1967.0,1967.0,,,,,No,
Yi Gyeong-yun,,,,,,,,,1545.0,1611.0,,,,,No,
Jo Ji-un,,,,,,,,,1637.0,1737.0,,,,,No,
Yi Heung-hyo,,,,,,,,,1537.0,1593.0,,,,,No,
Miki Yamamoto,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Tutomu Dobata,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Yumiko Sebata,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Hitoshi Maida,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Hiroshi Nakamachi,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Yucho Kubota,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:4},{Japan:4}",,
Tatsuo Fujimura,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Akito Yusui,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:6},{Japan:6}",,
Yuuichu Kakimoto,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Yuichi Kakimoto,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:4},{Japan:4}",,
Norishige Sugimura,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Katsuya Takada,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Satoru Akaji,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Kozo Shirasaka,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Hiromi Yabana,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Takeshi Yamada,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:6},{Japan:6}",,
Hijime Todo,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Yuzo Miyano,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Eiryo Nishikawa,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Tkashi Chadani,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:4},{Japan:4}",,
Hiromi Moto,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Masanobu Oota,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Tetsuya Honma,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Miyoji Ishida,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Yasuji Tsurumi,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Kim Je,,,,,,,,,1524.0,1593.0,,,,,No,
Shin Sugiura,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:6},{Japan:6}",,
Kunichika Turumi,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Naoya Sadahiro,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Neeru Kumar,,,,,,,,,,,Odisha,,,{Odisha:2},,
Yamamoto Shunkyo,,,,,,,,,,,Japan,,,{Japan:4},,
Maxton,,,,,,,,,,,"France, Calais",,,"{Calais:5},{France:5}",,
Gyeong-seung Lee,,,,,,,,,1900.0,1900.0,,,,,No,
Hong Se-seop,,,,,,,,,1832.0,1884.0,,,,,No,
Baek Eun-bae,,,,,,,,,1820.0,1901.0,,,,,No,
Elizabeth Arden,,,,,,,,,,,France,,,{France:2},,
Eung-won Kim,,,,,,,,,1900.0,1912.0,,,,,No,
Hako Irie,,,,,,,,,1923.0,1923.0,,,,,No,
Geslin,,,,,,,,,1860.0,1860.0,,,,,No,
Wang Duo,,,,,,,,,,,China,,,{China:3},,
Attributed to Jean Patou,,,,,,,,,1924.0,1924.0,,,,,No,
Mary Sheepey,,,,,,,,,1764.0,1764.0,,,,,No,
Yi Ha-eung,,,,,,,,,1820.0,1898.0,,,,,No,
Judith Ann Larzelere,,,,,,,,,2010.0,2010.0,,,,,Yes,
Joseph Johnson,,,,,,,,,,,England,,,{England:3},,
Maruyama Ōzui,,,,,,,,,1799.0,1799.0,,,,,No,
Begović & Štimac,,,,,,,,,2014.0,2014.0,"Croatia, Zagreb",,,"{Croatia:2},{Zagreb:2}",Yes,
Henry Morgan & Co.,,,,,,,,,1880.0,1890.0,,,,,No,
Matsumura Keibun,,,,,,,,,1650.0,1868.0,,,,,No,
Su Hanchen,,,,,,,,,1172.0,1172.0,,,,,No,
Kim Myeong-guk,,,,,,,,,1600.0,1670.0,,,,,No,
Frances Mecia Campbell,,,,,,,,,1807.0,1807.0,,,,,No,
Yi Ha-ûng (also known as Tae-wôn-kun),,,,,,,,,1892.0,1892.0,,,,,No,
Toku Yusui,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Tomoji Ueda,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Hiroshi Yata,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Halston for Halston,,,,,,,,,,,USA,,,{USA:2},,
Li Cheng and Wang Xiao,,,,,,,,,,,China,,,{China:2},,
M.J. Miles,,,,,,,,,,,USA,,,{USA:2},,
Oscar de la Renta for Oscar de la Renta,,,,,,,,,,,"USA, New York",,,"{USA:2},{New York:2}",,
The New York Herald,,,,,,,,,,,Paris,,,{Paris:2},,
Charles Poynter for Redfern,,,,,,,,,,,"London, England",,,"{London:3},{England:3}",,
Max Mara,,,,,,,,,2007.0,2007.0,Italy,,,{Italy:2},Yes,
TERASAKI Kôgyô,,,,,,,,,1901.0,1901.0,,,,,No,
Huishan Zhang,,,,,,,,,,,London,,,{London:3},,
Schlessinger,,,,,,,,,1905.0,1905.0,"Vienna, Austria",,,"{Austria:3},{Vienna:3}",No,
Tim BUDDEN,,,,,,,,,2013.0,2013.0,,,,,Yes,
(left)Kiyoko Onuma,,,,,,,,,,,"Japan, Tokyo",,,"{Tokyo:2},{Japan:2}",,
Ida Stow,,,,,,,,,1933.0,1933.0,,,,,No,
Pronovias,,,,,,,,,2004.0,2004.0,Spain,,,{Spain:2},Yes,
TOMITA Keisen,,,,,,,,,1901.0,1933.0,,,,,No,
Carleton Varney,,,,,,,,,2001.0,2001.0,,,,,Yes,
Blanche & Simone,,,,,,,,,1940.0,1940.0,,,,,No,
Fernando Lemos,,,,,,,,,1949.0,1952.0,,,,,No,
An Jung-sik,,,,,,,,,1900.0,1900.0,,,,,No,
Gumzej,,,,,,,,,1984.0,1984.0,"Croatia, Zagreb",,,"{Croatia:2},{Zagreb:2}",,
Kamei Tōkei,,,,,,,,,1808.0,1808.0,,,,,No,
Franetović,,,,,,,,,2012.0,2012.0,"Croatia, Zagreb",,,"{Croatia:2},{Zagreb:2}",Yes,
B & B Enterprises,,,,,,,,,1976.0,1976.0,,,,,No,
Anya Caliendo,,,,,,,,,,,"USA, New York",,,"{New York:6},{USA:3}",,
Shuichi Kanamaru,,,,,,,,,,,"Japan, Ishikawa",,,"{Ishikawa:2},{Japan:2}",,
Tiffany & Co. (New York,,,,,,,,,1905.0,1905.0,,,,,No,
Attributed to Epimenes (Greek,,,,,,,,,,,Greece,,,{Greece:2},,
Manuel Cargaleiro,,,,,,,,,,,,,,,,
Bauer & Co. Lithographers,,,,,,,,,1848.0,1848.0,,,,,No,
Koetsu,,,,,,,,,1626.0,1626.0,,,,,No,
Feix Brothers,,,,,,,,,1900.0,1900.0,,,,,No,
Metropolitan Museum of Art,,,,,,,,,,,Italy,,,{Italy:2},,
William Stow,,,,,,,,,1875.0,1885.0,,,,,No,
Costas Mavropoulos,,,,,,,,,,,"Greece, Athens",,,"{Athens:2},{Greece:2}",,
Movado,,,,,,,,,1915.0,1915.0,Switzerland,,,{Switzerland:3},No,
Attributed to Epimenes,,,,,,,,,,,Greece,,,{Greece:2},,
Carl Barbé,,,,,,,,,1810.0,1810.0,Russia,,,{Russia:2},No,
Wes Hunting (American) and Wesley Hunting (American,,,,,,,,,2010.0,2010.0,,,,,Yes,
Anna Holtblad,,,,,,,,,,,Sweden,,,{Sweden:2},,
Katsuda Tetsu,,,,,,,,,,,Japan,,,{Japan:2},,
Narciso Rodriguez,,,,,,,,,,,USA,,,{USA:2},,
Jang Jung Youn,,,,,,,,,2013.0,2013.0,,,,,Yes,
Kim Seo Ryong,,,,,,,,,2013.0,2013.0,,,,,Yes,
Roger Broders,,,,,,,,,,,"Paris, France",,,"{Paris:2},{France:2}",,
Omoda Seiju,,,,,,,,,,,Japan,,,{Japan:3},,
Ruth Phillips,,,,,,,,,,,"Berlin, Germany, Brighton, England",,,"{Berlin:2},{Germany:2},{Brighton:2},{England:2}",,
Irini Chariati,,,,,,,,,,,"Greece, Athens",,,"{Athens:1},{Greece:1}",,
Bethany Yellowtail,Apsáalooke [Crow]/Northern Cheyenne,,,,,,,,,,"Los Angeles, California, United States",,,"{Los Angeles:1},{California:1},{United States:1}",,
Wiliam Woollett,,,,,,,,,1776.0,1776.0,,,,,No,
Remo Salvadori,,,,,,,,,1981.0,2003.0,,,,,Yes,
ALAB PAGARIGAN,,,,,,,,,2015.0,2015.0,Philippines,,,{Philippines:3},Yes,
Kawamura Tsuneshige,,,,,,,,,,,Japan,,,{Japan:2},,
The Royal Mint,,,,,,,,,,,"Pontyclun, United Kingdom",,,"{Pontyclun:1},{United Kingdom:1}",,
Gobius. G.F.G.,,,,,,,,,,,Netherlands,,,{Netherlands:1},,
